team_a_ppg_dif_l4,team_b_ppg_dif_l4,team_a_shots_average,team_b_shots_average,predict_xg_overall_team_a,predict_xg_overall_team_b,position_a_prematch,position_b_prematch,predict_xg_home_team_a,predict_xg_away_team_b,Result
1.19,0.594286,14.03,11.1,2.1318,1.8995,9,10,2.00932,1.44423,2
3.2,1.17333,10.41,8.93,1.425,1.5624,15,16,1.84678,1.23333,2
1.25333,1.38667,13.9,15.17,2.1216,2.1762,4,3,2.87117,1.92185,2
3.68,0.85,9.53,10.27,1.5141,1.606,12,8,1.48696,1.06858,0
0.408889,8.32,10.6,9.37,2.0358,1.28,11,17,1.98569,0.936951,0
1.58667,0.85,11.0,9.8,1.5498,2.249,10,7,1.75052,1.56033,0
1.28,1.12667,16.2,11.67,1.54,1.3398,5,6,2.26312,1.17126,2
1.88,1.0,13.73,11.77,3.672,1.644,4,11,4.90064,1.58042,0
0.613333,0.85,9.73,8.93,1.023,1.372,15,16,1.05097,0.995292,0
0.92,0.563333,10.6,16.73,0.84,4.0723,14,2,1.1723,3.31364,1
0.952,0.377778,14.13,10.7,1.76,1.6002,9,13,1.66887,1.51683,0
0.564444,1.38667,14.4,15.2,2.2898,1.6269,1,3,2.70656,1.45438,0
0.752,0.5,15.53,11.17,3.834,1.736,3,10,4.60714,1.50895,2
0.69,0.766667,16.68,10.81,3.3096,0.8946,2,9,4.46161,0.716244,0
2.82667,0.444444,15.26,9.77,3.6248,1.133,4,14,4.45967,1.07148,0
0.81,1.15,8.97,9.45,1.0508,1.2257,16,11,1.47887,1.13666,2
8.48,0.575,10.35,15.58,1.3356,3.0885,10,3,1.5447,2.62821,1
1.63,1.016,9.81,14.29,1.5876,1.4964,7,8,2.00521,1.52167,1
1.0,4.0,11.61,10.45,2.8116,2.1896,12,15,3.07848,1.57802,0
0.5,1.08444,10.97,14.23,1.2354,3.8553,11,1,1.37762,3.3223,1
2.8,1.25333,9.42,16.26,0.6006,2.415,17,5,0.667067,1.74942,1
0.931429,0.444444,11.61,10.74,2.6505,1.309,6,10,3.46199,1.08688,0
0.62,1.09714,10.61,13.87,1.4742,3.399,13,3,1.37217,2.45208,0
0.69,0.768,16.75,10.94,3.7555,0.966,2,12,4.45855,0.725211,0
0.413333,0.444444,10.78,10.66,2.1516,1.9398,13,11,2.3292,1.84667,2
0.96,0.888,11.66,9.38,2.4386,1.12,7,11,3.30549,0.958416,0
